Topic1,Topic2,Weight
7,80,1
10,41,1
4,100,28
4,8,54
4,73,56
4,12,3
4,53,40
8,100,34
73,100,36
12,100,1
53,100,32
8,73,76
8,12,1
8,53,44
12,73,1
53,73,44
12,53,1
11,127,26
14,115,32
15,42,1
12,101,42
54,119,32
54,64,32
64,119,30
45,102,1
13,78,22
13,48,29
13,47,12
13,35,10
48,78,26
47,78,12
35,78,12
47,48,12
35,48,12
35,47,16
90,129,1
33,91,20
30,63,1
12,16,44
16,101,39
11,65,6
11,27,6
11,81,8
11,106,8
11,105,6
65,127,16
27,127,16
81,127,6
106,127,8
105,127,8
27,65,20
65,81,6
65,106,6
65,105,8
27,81,6
27,106,6
27,105,8
81,106,6
81,105,6
105,106,6
38,114,20
6,38,8
6,114,6
69,111,20
61,70,1
34,77,1
3,51,12
51,58,10
10,51,8
51,125,6
51,117,6
3,58,12
3,10,6
3,125,6
3,117,6
10,58,6
58,125,6
58,117,6
10,125,2
10,117,2
117,125,6
55,122,10
12,110,20
101,110,20
16,110,39
54,112,30
19,54,32
46,54,26
54,77,30
41,54,18
31,54,26
112,119,30
19,119,28
46,119,34
77,119,36
41,119,18
31,119,36
64,112,26
19,112,26
46,112,26
77,112,30
41,112,18
31,112,26
19,64,36
46,64,26
64,77,30
41,64,18
31,64,24
19,46,26
19,77,28
19,41,18
19,31,22
46,77,32
41,46,18
31,46,30
41,77,18
31,77,34
31,41,18
15,66,28
0,27,1
0,123,1
27,123,1
29,95,9
0,12,2
70,88,12
40,70,12
69,70,10
70,111,12
68,70,2
70,89,12
25,70,12
70,116,14
70,121,12
40,88,16
69,88,12
88,111,14
68,88,4
88,89,14
25,88,14
88,116,12
88,121,12
40,69,12
40,111,14
40,68,4
40,89,18
25,40,14
40,116,12
40,121,16
68,69,8
69,89,12
25,69,10
69,116,10
69,121,10
68,111,4
89,111,14
25,111,12
111,116,12
111,121,12
68,89,5
25,68,2
68,116,2
68,121,2
25,89,14
89,116,14
89,121,16
25,116,18
25,121,12
116,121,12
1,46,3
30,106,5
52,100,24
52,118,24
20,52,20
52,73,22
52,53,18
52,90,20
8,52,18
5,52,18
4,52,18
0,52,16
52,110,14
100,118,32
20,100,52
90,100,26
5,100,36
0,100,40
100,110,14
20,118,28
73,118,30
53,118,24
90,118,22
8,118,26
5,118,20
4,118,24
0,118,18
110,118,14
20,73,26
20,53,34
20,90,26
8,20,26
5,20,40
4,20,24
0,20,34
20,110,14
73,90,18
5,73,18
0,73,16
73,110,20
53,90,18
5,53,18
0,53,16
53,110,20
8,90,18
5,90,24
4,90,18
0,90,22
90,110,14
5,8,18
0,8,17
8,110,20
4,5,18
0,5,34
